"","data","co","o3","temp","umid"
"1","Jan_1",6.6,113.6,15.2,56
"2","Jan_2",6.2,115.2,15.5,55
"3","Jan_3",7.9,130.4,16.8,62
"4","Jan_4",8.6,110.4,16.4,96
"5","Jan_5",8.8,107.2,15.2,62
"6","Jan_6",6.4,86.4,16,64
"7","Jan_7",6.9,120,16.3,63
"8","Jan_8",7.9,150.4,17.8,68
"9","Jan_9",8.2,149,18.1,71
"10","Jan_10",8.7,117.3,18.3,64
"11","Jan_11",6.3,59.7,19.2,69
"12","Jan_12",6.3,27.2,17.2,76
"13","Jan_13",6.3,119.2,15.1,62
"14","Jan_14",6.4,120.8,18.9,78
"15","Jan_15",7.7,26.7,19.2,90
"16","Jan_16",7.9,50.1,18.3,73
"17","Jan_17",7.9,35.2,16,94
"18","Jan_18",7.7,40,15.5,78
"19","Jan_19",6.9,96,16,62
"20","Jan_20",6.2,142,18,66
"21","Jan_21",6.2,134.3,17,57
"22","Jan_22",6.1,82.1,20,61
"23","Jan_23",7.3,233.2,20.1,61
"24","Jan_24",6.6,72,18.9,68
"25","Jan_25",6.2,96.8,18.8,70
"26","Jan_26",5.1,61.6,15.9,94
"27","Jan_27",6.1,32.8,15.2,97
"28","Jan_28",5.7,35.2,17,63
"29","Jan_29",6.7,87.2,18.6,61
"30","Jan_30",6.5,85.6,20,63
"31","Jan_31",5.7,34.7,19.9,88
"32","Fev_1",5.8,22.9,18.9,78
"33","Fev_2",6.2,83.9,17.8,73
"34","Fev_3",5.5,204.2,17,75
"35","Fev_4",6.7,192.5,17.9,66
"36","Fev_5",7.9,99.7,18,65
"37","Fev_6",6.4,182.3,17.8,63
"38","Fev_7",6.9,141,18.2,72
"39","Fev_8",6.4,87.2,18,85
"40","Fev_9",5.2,34.4,18.5,96
"41","Fev_10",5.7,40,18.9,81
"42","Fev_11",4.7,60.8,20,67
"43","Fev_12",7.3,82,17.9,68
"44","Fev_13",6.2,98.9,18,67
"45","Fev_14",6.7,200,17,60
"46","Fev_15",6.2,172.7,19,70
"47","Fev_16",6.7,65.2,19,80
"48","Fev_17",6.1,149.2,18,63
"49","Fev_18",6.7,100,16.7,76
"50","Fev_19",7.4,128.4,15.8,65
"51","Fev_20",5.9,135.7,16,58
"52","Fev_21",5.5,121.2,17,99
"53","Fev_22",6.1,85.2,17.6,57
"54","Fev_23",7.2,48.4,16.9,86
"55","Fev_24",5.6,81.6,15.2,61
"56","Fev_25",7.2,72.8,15.2,71
"57","Fev_26",6.9,164.9,17,63
"58","Fev_27",6.9,137.1,17,58
"59","Fev_28",7.7,82.4,17.3,62
"60","Mar_1",6.3,38.8,18.9,60
"61","Mar_2",7.7,30.4,18.8,76
"62","Mar_3",6.4,26.7,18.1,90
"63","Mar_4",6.4,33.6,18.3,69
"64","Mar_5",7.9,24,18.1,89
"65","Mar_6",6.2,12.3,18,75
"66","Mar_7",6.8,12.3,18,99
"67","Mar_8",8,129.2,21,69
"68","Mar_9",8.3,105.6,19,65
"69","Mar_10",7.8,116.8,19,64
"70","Mar_11",6.9,85.3,19,59
"71","Mar_12",7.5,56,19,61
"72","Mar_13",8.4,61.9,20.1,62
"73","Mar_14",8.1,50.7,18,77
"74","Mar_15",6.6,40.5,16.9,64
"75","Mar_16",7.1,48.5,15.2,53
"76","Mar_17",6.6,92.8,15.8,59
"77","Mar_18",7.7,97.1,16.9,55
"78","Mar_19",10.3,32,18.9,97
"79","Mar_20",7.5,56,18.1,65
"80","Mar_21",11.4,91.7,19,74
"81","Mar_22",9.5,38.9,17.8,88
"82","Mar_23",7.8,33.1,17.1,75
"83","Mar_24",7.4,34.7,18,78
"84","Mar_25",8.9,140.8,18.6,77
"85","Mar_26",9.5,27.7,16,92
"86","Mar_27",10.1,18.8,14.2,94
"87","Mar_28",12.5,24,14,96
"88","Mar_29",6.2,33.1,14.8,83
"89","Mar_30",7.9,28.8,16.3,91
"90","Mar_31",7.6,18.7,17,81
"91","Abr_1",9.1,27.2,17.8,56
"92","Abr_2",7,42.7,16.4,69
"93","Abr_3",7.2,62.4,16,62
"94","Abr_4",7.8,68.3,16,64
"95","Abr_5",9.1,16.5,14.8,80
"96","Abr_6",9.7,122.1,12.3,57
"97","Abr_7",6.3,104,14.9,66
"98","Abr_8",10.8,35.2,17.6,65
"99","Abr_9",12,150.3,17.9,70
"100","Abr_10",8.9,48.8,16.6,60
"101","Abr_11",7.6,38.4,18.9,52
"102","Abr_12",9.4,59.7,19,56
"103","Abr_13",11.9,39.6,19.8,82
"104","Abr_14",10.3,63.5,19.1,57
"105","Abr_15",8.3,92,18.4,60
"106","Abr_16",7.8,29.9,18.5,69
"107","Abr_17",11.6,20.3,18,59
"108","Abr_18",6.9,19.7,19,64
"109","Abr_19",7.8,13.3,16.1,83
"110","Abr_20",6.9,34.7,13.1,70
"111","Abr_21",4.7,40,13.8,62
"112","Abr_22",7.9,150.2,14.8,58
"113","Abr_23",7.4,120.7,13.2,60
"114","Abr_24",8.5,28.8,14.9,50
"115","Abr_25",8.5,9.1,15.5,97
"116","Abr_26",9,2.7,15.9,82
"117","Abr_27",8.9,11.2,14.1,75
"118","Abr_28",10.3,33.1,14.5,58
"119","Abr_29",6.1,34.4,14,64
"120","Abr_30",7,53.6,15.1,73
