"","ano","mes","cananeia","ubatuba"
"1",1976,"Jan",25.2,27.1
"2",1976,"Fev",24.3,25.3
"3",1976,"Mar",24.2,25.8
"4",1976,"Abr",21.4,23.7
"5",1976,"Mai",19.8,21.6
"6",1976,"Jun",17,20
"7",1976,"Jul",17.2,19.3
"8",1976,"Ago",17.6,20.2
"9",1976,"Set",20.2,20.2
"10",1976,"Out",21.6,21.3
"11",1976,"Nov",22.5,23.7
"12",1976,"Dez",24,25.5
"13",1977,"Jan",25.3,26.4
"14",1977,"Fev",26.4,27.4
"15",1977,"Mar",24.9,26.3
"16",1977,"Abr",21.8,23.8
"17",1977,"Mai",21,22.3
"18",1977,"Jun",19.3,20.8
"19",1977,"Jul",20.8,22.6
"20",1977,"Ago",19.6,21.6
"21",1977,"Set",20.2,21.6
"22",1977,"Out",21.6,22.5
"23",1977,"Nov",22.5,23.3
"24",1977,"Dez",24,24.1
"25",1978,"Jan",24.8,25.9
"26",1978,"Fev",25.2,25.8
"27",1978,"Mar",24.3,25.5
"28",1978,"Abr",21.6,22.9
"29",1978,"Mai",19.2,21.5
"30",1978,"Jun",17.4,19.8
"31",1978,"Jul",18.9,21.4
"32",1978,"Ago",17.5,20.8
"33",1978,"Set",19.7,21.8
"34",1978,"Out",21.6,22.3
"35",1978,"Nov",22.9,23.7
"36",1978,"Dez",23.9,24.7
"37",1979,"Jan",22.9,24
"38",1979,"Fev",24.5,25.3
"39",1979,"Mar",23.2,24.2
"40",1979,"Abr",21.8,23.2
"41",1979,"Mai",19.3,22.3
"42",1979,"Jun",16.6,19.6
"43",1979,"Jul",16.5,19.2
"44",1979,"Ago",18.8,21.7
"45",1979,"Set",18.1,20.5
"46",1979,"Out",22,22.5
"47",1979,"Nov",21.7,22.5
"48",1979,"Dez",24.1,24.5
"49",1980,"Jan",24.4,26.1
"50",1980,"Fev",25,26.6
"51",1980,"Mar",26.4,27.7
"52",1980,"Abr",23.6,24.4
"53",1980,"Mai",21.7,23
"54",1980,"Jun",18.2,20.5
"55",1980,"Jul",17.6,20.1
"56",1980,"Ago",17.8,20.3
"57",1980,"Set",17.3,19.7
"58",1980,"Out",20.2,21.5
"59",1980,"Nov",22.2,22.6
"60",1980,"Dez",24.6,25.6
"61",1981,"Jan",25,25.9
"62",1981,"Fev",26.2,27
"63",1981,"Mar",24.3,24.7
"64",1981,"Abr",22.3,22.9
"65",1981,"Mai",21.9,22.3
"66",1981,"Jun",18.2,19.9
"67",1981,"Jul",17.1,19
"68",1981,"Ago",18,20.2
"69",1981,"Set",19.5,21.4
"70",1981,"Out",19.4,20.7
"71",1981,"Nov",23.2,23.4
"72",1981,"Dez",23.6,23.8
"73",1982,"Jan",23.8,24.3
"74",1982,"Fev",25,25.9
"75",1982,"Mar",23.9,23.7
"76",1982,"Abr",21.6,22.1
"77",1982,"Mai",19.9,20.1
"78",1982,"Jun",20.3,20.3
"79",1982,"Jul",18.8,20.3
"80",1982,"Ago",18.7,20.8
"81",1982,"Set",19.7,20.8
"82",1982,"Out",20.6,21.5
"83",1982,"Nov",22.4,24.3
"84",1982,"Dez",23.8,23.8
"85",1983,"Jan",25.9,26.4
"86",1983,"Fev",25.9,26.6
"87",1983,"Mar",24.1,23.5
"88",1983,"Abr",22.6,18.9
"89",1983,"Mai",20.9,18
"90",1983,"Jun",16.9,15.3
"91",1983,"Jul",17.2,14.7
"92",1983,"Ago",17.9,14.4
"93",1983,"Set",17.1,16.2
"94",1983,"Out",20.4,19.9
"95",1983,"Nov",23.5,22.6
"96",1983,"Dez",24.5,23.3
"97",1984,"Jan",26.2,25.6
"98",1984,"Fev",26.6,25.6
"99",1984,"Mar",24.7,23.3
"100",1984,"Abr",22.2,19.1
"101",1984,"Mai",21.8,19.4
"102",1984,"Jun",19.5,20.1
"103",1984,"Jul",18.3,19
"104",1984,"Ago",16.2,19
"105",1984,"Set",18.3,18.3
"106",1984,"Out",21.4,22
"107",1984,"Nov",22.3,22.5
"108",1984,"Dez",23,23.1
"109",1985,"Jan",24,23.8
"110",1985,"Fev",25.5,26.2
"111",1985,"Mar",25.3,25.1
"112",1985,"Abr",23.8,24.5
"113",1985,"Mai",20.1,21.6
"114",1985,"Jun",18,19.8
"115",1985,"Jul",18,19.8
"116",1985,"Ago",19.1,20.1
"117",1985,"Set",19.2,20.2
"118",1985,"Out",21.6,22.2
"119",1985,"Nov",22.6,22.9
"120",1985,"Dez",24,23.9
